ID;X;Y;26_04;05_05;09_05;13_05;18_05;23_05;07_06
2071;412852.67;4527637.06;0.33;0.37;0.43;0.59;0.78;0.83;0.58
2072;412855.74;4527635.15;0.36;0.38;0.48;0.58;0.79;0.82;0.60
2073;412862.48;4527630.03;0.36;0.41;0.46;0.56;0.75;0.82;0.67
2074;412865.84;4527626.91;0.35;0.39;0.45;0.66;0.78;0.85;0.67
2077;412875.9;4527612.65;0.32;0.34;0.40;0.59;0.80;0.85;0.70
2080;412870.03;4527606.85;0.34;0.39;0.39;0.59;0.78;0.84;0.67
2081;412849.46;4527632.17;0.37;0.39;0.47;0.59;0.82;0.85;0.64
2082;412852.6;4527629.29;0.38;0.42;0.48;0.61;0.80;0.87;0.64
2083;412854.51;4527628.49;0.39;0.43;0.49;0.63;0.81;0.83;0.60
2084;412852.87;4527623.33;0.42;0.47;0.53;0.65;0.79;0.84;0.68
2085;412857.63;4527620.27;0.41;0.46;0.53;0.64;0.78;0.84;0.64
2090;412861.47;4527609.49;0.27;0.34;0.35;0.56;0.77;0.79;0.67
2091;412845.26;4527627.42;0.44;0.46;0.50;0.63;0.80;0.84;0.72
2092;412848.98;4527624.67;0.33;0.36;0.41;0.62;0.78;0.83;0.63
2093;412848.83;4527622.89;0.37;0.41;0.45;0.66;0.78;0.83;0.64
2094;412854.34;4527618.86;0.38;0.37;0.47;0.65;0.77;0.84;0.65
2095;412855.14;4527616.03;0.40;0.41;0.50;0.64;0.77;0.84;0.69
2096;412856.24;4527612.84;0.17;0.29;0.35;0.49;0.78;0.80;0.69
2097;412860.82;4527606.81;0.16;0.38;0.43;0.53;0.75;0.81;0.55
2098;412866.16;4527607.39;0.18;0.33;0.32;0.55;0.78;0.85;0.71
2100;412859.54;4527619.5;0.41;0.45;0.49;0.62;0.79;0.85;0.69
4088;412849.15;4527633.3;0.35;0.38;0.45;0.62;0.84;0.86;0.66
4089;412848.71;4527634.08;0.40;0.45;0.52;0.65;0.85;0.87;0.66
4090;412851.33;4527636.81;0.41;0.44;0.52;0.66;0.82;0.84;0.64
4091;412850.66;4527638.8;0.47;0.47;0.54;0.65;0.84;0.83;0.65
4092;412850.08;4527639.49;0.46;0.47;0.54;0.70;0.85;0.85;0.66
4093;412852.51;4527640.78;0.31;0.33;0.37;0.53;0.76;0.79;0.61
4094;412858.68;4527643.91;0.31;0.35;0.41;0.60;0.76;0.83;0.62
4095;412858.52;4527644.94;0.46;0.52;0.53;0.63;0.60;0.85;0.62
4096;412859.58;4527645.91;0.40;0.42;0.50;0.63;0.68;0.81;0.69
4117;412844.12;4527626.28;0.31;0.32;0.39;0.57;0.74;0.83;0.68
4157;412847.32;4527623.06;0.37;0.43;0.47;0.62;0.79;0.81;0.63
4174;412845.71;4527625.17;0.40;0.44;0.49;0.63;0.80;0.83;0.62
